Sample ID,PX,PY
r886,79.4725143,348.215034
r887,86.2921466,250.583419
r888,63.4342397,156.175529
r889,238.986255,85.3163681
r890,233.40735,395.751039
r891,107.024797,338.532522
r892,147.767099,378.205669
r893,190.21089,46.0952112
r894,129.02114,146.523005
r895,131.756548,209.026752
r896,259.47541,179.274279
r897,133.671461,404.188327
r898,56.8705023,113.492049
r899,209.801587,193.845334
r900,206.319235,51.6728236
r901,63.0753496,419.733837
r902,48.8567751,393.251923
r903,136.225629,444.753556
r904,42.7689341,298.704404
r905,176.293844,91.0033772
r906,266.787982,428.652983
r907,122.392523,92.3326083
r908,98.6795872,273.553405
r909,170.002475,115.700286
r910,68.2490507,455.081404
r911,129.978029,334.631235
r912,118.602668,146.971099
r913,267.32938,375.228612
r914,258.537979,197.203706
r915,222.986732,412.411855
r916,221.93798,97.3453951
r917,279.6378,419.305818
r918,179.296337,418.98622
r919,91.1882035,400.770131
r920,72.0524556,263.397055
r921,230.147756,387.062874
r922,275.657401,432.741334
r923,275.69171,277.25308
r924,70.106434,205.695809
r925,188.388435,118.637905
r926,245.964833,411.069816
r927,73.4530086,138.225417
r928,127.979325,436.617263
r929,77.7112545,316.450394
r930,147.48156,107.003595
r931,156.609899,440.623025
r932,268.04873,105.229469
r933,257.140931,441.517515
r934,265.639528,313.985425
r935,225.638377,51.3575486
r936,62.1306366,217.610005
r937,43.8984231,124.899241
r938,120.042301,300.41997
r939,98.0447422,427.26932
r940,230.096972,282.263776
r941,159.132889,100.328589
r942,163.330982,193.33561
r943,57.3764509,62.3900127
r944,122.833384,88.5377043
r945,221.517986,344.787252
r946,132.428571,110.621573
r947,41.6610496,442.548594
r948,212.425415,65.3929454
r949,173.67264,448.859264
r950,56.8198304,246.719425
r951,123.475967,335.226865
r952,139.121333,344.009092
r953,114.797248,360.936527
r954,217.016312,409.359347
r955,133.201668,339.162695
r956,188.661827,142.903357
r957,189.649904,246.969594
r958,232.578959,358.212477
r959,196.976305,40.156861
r960,203.068748,75.2100673
r961,138.581158,366.164789
r962,199.180754,163.279511
r963,46.5082666,186.082208
r964,235.822952,312.629405
r965,58.010267,394.366051
r966,256.23167,69.0113729
r967,56.9985363,151.442134
r968,85.869612,338.334523
r969,226.46302,61.4489119
r970,88.7520409,180.901946
r971,136.903483,415.261062
r972,147.083351,135.772535
r973,185.510913,280.225025
r974,178.346978,120.239001
r975,54.281624,459.90056
r976,83.8396204,250.77685
r977,111.069199,384.424995
